,Time,Fre_SG_Hz,Fre_GFM_Hz,Fre_GFL_Hz,Po_SG_MVA,Po_GFM_MVA,Po_GFL_MVA,Total_MVA,Vo_SG_PU,Vo_GFM_PU,Vo_GFL_PU,SCL_SG_MVA,SCL_GFM_MVA,SCL_GFL_MVA
0,19.976,50.0,50.0,50.0,123.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
1,19.986,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
2,19.996,50.0,50.0,50.0,123.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
3,20.016,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
4,20.026,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
5,20.036,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
6,20.046,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
7,20.056,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
8,20.066,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
9,20.076,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
10,20.086,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
11,20.096,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
12,20.116,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
13,20.126,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
14,20.136,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
15,20.146,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
16,20.156,50.0,50.0,50.0,122.0,69.0,-20.0,172.0,0.991,1.0,1.0,49.0,22.0,24.0
17,20.166,50.0,50.0,50.0,123.0,69.0,-20.0,173.0,0.991,1.0,1.0,49.0,22.0,24.0
